image_id  x_1    y_1    width   height
000180.jpg 134 348 321 321
000277.jpg 98 150 155 155
000306.jpg 117 142 223 223
000565.jpg 706 231 267 267
000727.jpg 469 160 186 185
000825.jpg 141 201 268 267
000876.jpg 150 150 154 155
000987.jpg 43 118 223 223
000989.jpg 92 142 223 223
001145.jpg 98 116 155 154
001367.jpg 52 171 267 268
001382.jpg 553 297 463 462
001414.jpg 64 133 154 155
001568.jpg 425 603 799 799
001854.jpg 35 139 186 186
002028.jpg 159 118 186 186
002056.jpg 290 142 267 267
002123.jpg 82 171 267 268
002154.jpg 117 192 223 223
002429.jpg 92 142 223 223
002622.jpg 77 160 185 185
002856.jpg 111 142 268 267
002993.jpg 82 82 267 268
003410.jpg 705 206 321 321
003437.jpg 191 142 223 223
003524.jpg 97 201 186 186
003628.jpg 92 217 223 223
003884.jpg 68 118 223 223
003907.jpg 253 202 155 154
003926.jpg 461 461 385 385
004074.jpg 118 180 186 186
004093.jpg 290 333 385 385
004369.jpg 92 167 223 223
004397.jpg 68 142 223 223
004584.jpg 1786 965 462 462
004595.jpg 159 222 186 185
004710.jpg 260 201 267 267
004739.jpg 76 119 385 385
005104.jpg 142 167 223 223
005109.jpg 194 246 462 462
005412.jpg 221 180 186 186
005455.jpg 111 142 268 267
005664.jpg 98 277 321 321
005765.jpg 408 167 154 155
006156.jpg 296 268 129 129
006282.jpg 399 400 462 462
006365.jpg 92 142 223 223
006452.jpg 132 133 155 155
006512.jpg 407 325 186 186
006591.jpg 348 206 321 321
006745.jpg 242 180 186 186
006916.jpg 12 116 155 154
007103.jpg 64 81 154 155
007107.jpg 200 142 268 267
007150.jpg 526 348 321 321
007158.jpg 81 133 155 155
007216.jpg 118 201 186 186
007413.jpg 349 260 268 268
007446.jpg 191 242 223 222
007641.jpg 1611 576 666 666
007710.jpg 262 180 186 186
007983.jpg 210 39 129 129
008064.jpg 491 384 321 321
008284.jpg 191 167 223 223
008349.jpg 315 118 223 223
008482.jpg 290 119 385 385
008519.jpg 205 170 321 321
008575.jpg 365 118 223 223
009197.jpg 110 96 129 129
009238.jpg 760 461 386 385
009399.jpg 205 170 321 321
009466.jpg 92 68 223 223
009653.jpg 98 241 321 321
009656.jpg 958 692 798 799
009658.jpg 118 160 186 185
009698.jpg 170 277 321 321
009703.jpg 132 133 155 155
010129.jpg 63 241 321 321
010224.jpg 97 139 186 186
010241.jpg 348 400 462 462
010243.jpg 110 53 129 129
010244.jpg 132 47 155 155
010280.jpg 92 93 223 223
010366.jpg 390 118 223 223
010461.jpg 1043 937 958 958
010481.jpg 142 68 223 223
010558.jpg 200 260 268 268
010582.jpg 324 98 186 186
010594.jpg 191 266 223 223
010716.jpg 68 118 223 223
010745.jpg 348 206 321 321
010801.jpg 77 139 185 186
010876.jpg 134 206 321 321
010893.jpg 81 98 155 155
011013.jpg 418 357 554 554
011143.jpg 118 139 186 186
011185.jpg 92 167 223 223
011397.jpg 241 170 321 321
011537.jpg 35 139 186 186
011608.jpg 200 82 268 268
011932.jpg 151 68 108 107
012556.jpg 1146 204 385 386
012577.jpg 118 160 186 185
012578.jpg 171 418 555 555
012758.jpg 735 171 268 268
012790.jpg 43 68 223 223
012906.jpg 159 139 186 186
012926.jpg 142 192 223 223
013007.jpg 132 202 155 154
013176.jpg 92 142 223 223
013530.jpg 650 428 665 666
013537.jpg 81 116 155 154
013786.jpg 117 93 223 223
013939.jpg 92 118 223 223
014286.jpg 399 451 462 462
014300.jpg 366 180 185 186
014542.jpg 191 192 223 223
014918.jpg 139 118 185 186
